title,score_source,score_gpt4o_mini,score_ours
"CoCoNUT: Structural Code Understanding does not
fall out of a tree",7,4,8
"Partially private, optimistic, distributed, and verifiable machine learning inference",7,5,8
"SpikeDecoder: Realizing the GPT Architecture
with Spiking Neural Networks",8,7,8
"T2Vid: Translating Long Text into Multi-Image
is the Catalyst for Video-LLMs",7,5,7
Reverse Thinking Makes LLMs Stronger Reasoners,8,6,8
Money Burning Improves Mediated Communication,7,5,7
"Condorcet-Consistent Choice
Among Three Candidates",8,7,8
Classical transport in a maximally chaotic chain,7,6,7
Topological Approach for Data Assimilation,7,8,7
"Timely and Energy-Efficient Multi-Step Update
Processing",7,4,7
A GEOMETRIC INVARIANT OF LINEAR RANK-METRIC CODES,7,7,8
